files_name classifier avg_bpm_normalized avg_rhythmic_density_normalized avg_velocity_normalized bpm_stddev_normalized velocity_stddev_normalized percent_irregular_time_signature
bartok_piano_sonata_1_(c)unknown.mid 3 0.4073368953603318 0.3864070686530915 -0.0493211179974491 10.56 0.42 0.0981
bartok_piano_sonata_2_(c)unknown.mid 3 -0.6761035996260732 -0.2976366370764691 -1.6247705896857203 6.62 0.48 0.8889
bartok_piano_sonata_3_(c)unknown.mid 3 1.400415191872745 0.0854653971550487 -0.2280110391719221 6.24 0.44 0.3357
bartok_roumanian_folk_dances_1_(c)pajares.mid 3 -0.2820428844763356 -0.2037390796667833 -0.2399237005835539 31.07 0.35 0.0
bartok_roumanian_folk_dances_2_(c)pajares.mid 3 0.6555498515695913 -0.2830825156779676 -0.7998187869302361 29.16 0.31 0.0
bartok_roumanian_folk_dances_3_(c)pajares.mid 3 -0.1536334445396107 -1.02956809708497 0.29018973223405 34.36 0.38 0.0
bartok_roumanian_folk_dances_4_(c)pajares.mid 3 -0.3139753907039867 -0.5882495772594465 -0.362028480052777 19.8 0.49 0.0
bartok_roumanian_folk_dances_5_(c)pajares.mid 3 0.7694651042824178 0.1587054919346037 0.3825128581741946 6.75 0.43 0.0
bartok_roumanian_folk_dances_6_(c)pajares.mid 3 0.7538385586816524 0.35401241134675 0.674373062759167 16.0 0.37 0.0
bartok_sonatine_(c)oguri.mid 3 0.093447153292782 0.151663175128877 -0.3560721493469611 0.0 0.55 0.0
battiferri_4part-fugue_[mann181]_(mccloskey).mid 0 2.1316922316534934 -0.7643074974026073 -1.6753994006851547 0.0 0.34 1.0
beethoven-liszt_symphony_9_2_(c)pepperdine.mid 2 1.441859508466079 -0.3262753920864232 -0.1863167242312115 12.08 0.42 0.0
beethoven-liszt_symphony_9_3_(c)pepperdine.mid 2 -1.4510896727538904 -1.012197048964178 0.4599451573497995 17.22 0.47 0.0
beethoven-liszt_symphony_9_4_(c)pepperdine.mid 2 1.603333813007322 -0.2525658095198202 -0.1922730549370277 31.69 0.62 0.2047
beethoven-saint-saens_variations_35_1_(siu).mid 2 -0.1391392573157124 -1.8469463343362844 -0.3471376532882376 15.67 0.84 0.0542
beethoven-saint-saens_variations_35_2_(siu).mid 2 5.071747521351132 -1.36712981597279 -0.7849279601656968 35.18 0.78 0.0
beethoven_liszt_symphony_1_1_(c)yogore1.mid 1 2.3232872690194 -0.0516250366630925 -0.5198712437568951 41.2 0.47 0.0025
beethoven_liszt_symphony_1_2_(c)yogore.mid 1 -1.265382898947692 -0.6229916735010306 1.1776830074006 0.0 0.53 1.0
beethoven_liszt_symphony_1_3_(c)yogore.mid 1 1.044628189861114 -0.3539751715222807 -0.0612337794090804 0.0 0.53 1.0
beethoven_liszt_symphony_1_4_(c)yogore.mid 1 1.3068823899435258 -0.0135965259121697 0.6505477399359039 41.77 0.38 0.0051
beethoven_liszt_symphony_2_1_(c)yogore.mid 1 1.7109078588096929 -0.0403573297739305 0.0370456772368798 41.27 0.43 0.0346
beethoven_liszt_symphony_2_2_(c)yogore.mid 1 -1.5824432444704697 -0.7398941324760892 1.7286435976885588 0.0 0.44 1.0
beethoven_liszt_symphony_2_3_(c)yogore.mid 1 0.7728621794130192 -0.4661827526268552 0.0161985197665245 0.0 0.5 1.0
beethoven_liszt_symphony_2_4_(c)yogore.mid 1 0.8181565144877015 -0.0779163527378047 0.6326787478184569 0.0 0.41 0.0023
beethoven_liszt_symphony_4_1_(c)yogore.mid 1 1.083807789700714 -0.4060883158846562 0.340818543233484 18.27 0.48 0.9416
